*HASH_VALUE	title_id	name	women_name
_	gn_apprentice_tracer	Apprentice Tracer	
_	gn_bandit_bountybeaches_1	Кровавые Корчевщики	
_	gn_bandit_bountybeaches_2	Охотники за головами	
_	gn_bandit_bountybeaches_3	Отъявленная пятерка	
_	gn_bandit_citiesofintuition_1	Птицы Предзнаменования	
_	gn_bandit_citiesofintuition_2	Клинки Зоры	
_	gn_bandit_citiesofintuition_3	Очи Озарений	
_	gn_bandit_dunesofexil_1	Опустошители предгорий	
_	gn_bandit_dunesofexil_2	Подстерегающие	
_	gn_bandit_dunesofexil_3	Драконы Дайрона	
_	gn_bandit_dunesofexil_4	Истребители Пламени	
_	gn_bandit_enchantedisle_1	Потрошители Тайлера	
_	gn_bandit_enchantedisle_2	Аколиты Зла	
_	gn_bandit_enchantedisle_3	Своенравные Мектубы	
_	gn_bandit_fleetinggarden_1	Осквернители Зелени	
_	gn_bandit_fleetinggarden_2	Мутноглазые	
_	gn_bandit_fleetinggarden_3	Смотрящие с Вершин	
_	gn_bandit_fleetinggarden_4	Владыки Призрачного сада	
_	gn_bandit_fleetinggarden_5	Подсевшие на Семена	
_	gn_bandit_forbidden_depths_1	Пики Евы	
_	gn_bandit_forbidden_depths_2	Резчики плоти	
_	gn_bandit_forbidden_depths_3	Банда Зверообразных 	
_	gn_bandit_forbidden_depths_4	Танцующие с Драконами	
_	gn_bandit_frahartowers_1	Змеи Каньонов	
_	gn_bandit_frahartowers_2	Великолепные Стэйвоны	
_	gn_bandit_frahartowers_3	Клинки Ярости	
_	gn_bandit_frahartowers_4	Поджигатели фрахаров	
_	gn_bandit_gate_of_obscurity_1	Разбивающие Сердца	
_	gn_bandit_gate_of_obscurity_2	Продавцы Ужаса	
_	gn_bandit_gate_of_obscurity_3	Разорители Долин	
_	gn_bandit_gate_of_obscurity_4	Алые Бездельники	
_	gn_bandit_groveofconfusion_1	Безбашенные Девки	
_	gn_bandit_groveofconfusion_2	Тираны Рощи	
_	gn_bandit_groveofconfusion_3	Длинные Ножи	
_	gn_bandit_groveofumbra_1	Королевы Убийц	
_	gn_bandit_groveofumbra_2	Гуляки	
_	gn_bandit_groveofumbra_3	Черные Овцы	
_	gn_bandit_groveofumbra_4	Смельчаки	
